Epoch,SupervisedLoss,Accuracy
0,1.6122886737187703,0.29773464798927307
1,1.536985198656718,0.33009710907936096
2,1.4478772083918254,0.4207119941711426
3,1.4028754631678264,0.4563106894493103
4,1.2983401616414387,0.4886731505393982
5,1.300324559211731,0.5145631432533264
6,1.1835624774297078,0.5501618385314941
7,1.1706839799880981,0.553398072719574
8,1.1372487147649128,0.5501618385314941
9,1.0600673755009968,0.5631068348884583
10,1.0676113367080688,0.5436893105506897
11,1.0307474533716838,0.5598705410957336
12,1.0111629565556843,0.6019417643547058
13,0.9508423407872518,0.6116505265235901
14,0.9492805997530619,0.6148867607116699
15,0.962247351805369,0.6569579243659973
16,0.9014073808987936,0.6537216901779175
17,0.8669719497362772,0.6375404596328735
18,0.9495822588602701,0.6213592290878296
19,0.8165951172510783,0.6666666865348816
20,0.9019683003425598,0.6407766938209534
21,0.900085429350535,0.6699029207229614
22,0.8539223074913025,0.6634304523468018
23,0.8819545110066732,0.6828479170799255
24,0.8671958247820536,0.6601942181587219
25,0.8038386702537537,0.6957929134368896
26,0.8258153796195984,0.6504854559898376
27,0.8659659624099731,0.6763754487037659
28,0.8643080592155457,0.6828479170799255
29,0.8253398338953654,0.6763754487037659
30,0.820726732412974,0.6860841512680054
31,0.7660250862439474,0.6601942181587219
32,0.8244576652844747,0.7119741439819336
33,0.8549695213635763,0.6601942181587219
34,0.7781379024187723,0.6472492218017578
35,0.7597836256027222,0.7055016160011292
36,0.7791685263315836,0.6860841512680054
37,0.7852242986361185,0.6634304523468018
38,0.7768632968266805,0.7055016160011292
39,0.7755811214447021,0.6925566792488098
40,0.77580193678538,0.6796116828918457
41,0.7997096180915833,0.6763754487037659
42,0.7634334166844686,0.6860841512680054
43,0.7834652066230774,0.6925566792488098
44,0.7518925865491232,0.6893203854560852
45,0.794065535068512,0.6796116828918457
46,0.8043047984441122,0.6763754487037659
47,0.7708615263303121,0.6893203854560852
48,0.7858802080154419,0.6731391549110413
49,0.7714670101801554,0.6828479170799255
50,0.7789797186851501,0.6569579243659973
51,0.7930374344189962,0.7152103781700134
52,0.7908055583635966,0.6893203854560852
53,0.7606728076934814,0.7022653818130493
54,0.7453788717587789,0.7313916087150574
55,0.7676366567611694,0.6957929134368896
56,0.7499643166859945,0.6990291476249695
57,0.7290768027305603,0.7087379097938538
58,0.8044896324475607,0.7055016160011292
59,0.7698020736376444,0.6957929134368896
60,0.7385291854540507,0.7313916087150574
61,0.7134495774904887,0.7055016160011292
62,0.7415981292724609,0.6893203854560852
63,0.724465568860372,0.7055016160011292
64,0.7759967048962911,0.6990291476249695
65,0.7310044169425964,0.6957929134368896
66,0.7329683303833008,0.6957929134368896
67,0.7974560856819153,0.6990291476249695
68,0.7723443905512491,0.6666666865348816
69,0.7655114928881327,0.6796116828918457
70,0.7886385321617126,0.6731391549110413
71,0.7256229519844055,0.7087379097938538
72,0.7533913453420004,0.7152103781700134
73,0.6842852234840393,0.7184466123580933
74,0.7740011612574259,0.6796116828918457
75,0.7416398326555887,0.6957929134368896
76,0.7791481812795004,0.6990291476249695
77,0.6942300001780192,0.7055016160011292
78,0.7284449736277262,0.6990291476249695
79,0.7423857847849528,0.7184466123580933
80,0.741123636563619,0.7119741439819336
81,0.7788646419843038,0.7087379097938538
82,0.7302206158638,0.6893203854560852
83,0.7576342225074768,0.7216828465461731
84,0.8305016358693441,0.6699029207229614
85,0.77098415295283,0.6699029207229614
86,0.7866800228754679,0.6731391549110413
87,0.7185173630714417,0.7022653818130493
88,0.7091650168100992,0.7249191403388977
89,0.7317787210146586,0.6925566792488098
