Step,WeightDecay,TotalLoss,ContrastiveLoss,ContrastiveAccuracy,ContrastiveEntropy
98,0.0,11.08896541595459,11.08896541595459,62.48804330825806,6.062921047210693
196,0.0,10.062751770019531,10.062751770019531,99.48182106018066,6.170769691467285
294,0.0,10.01769733428955,10.01769733428955,99.77478981018066,6.183231353759766
392,0.0,10.007009506225586,10.007009506225586,99.78077411651611,6.186168670654297
490,0.0,9.999074935913086,9.999074935913086,99.83458518981934,6.187087535858154
588,0.0,9.999984741210938,9.999984741210938,99.82860088348389,6.187385559082031
686,0.0,10.003726959228516,10.003726959228516,99.82860088348389,6.186267375946045
784,0.0,10.012051582336426,10.012051582336426,99.76283311843872,6.184036731719971
882,0.0,10.018806457519531,10.018806457519531,99.7468888759613,6.181401252746582
980,0.0,10.026224136352539,10.026224136352539,99.76881146430969,6.178807258605957
