Epoch,SupervisedLoss,Accuracy
0,1.139223681737299,0.503246545791626
1,0.9553590316206353,0.5925793647766113
2,0.898624678724977,0.6114163398742676
3,0.8508372295937038,0.6313949227333069
4,0.8218717956107501,0.6529432535171509
5,0.7895925442377726,0.6604352593421936
6,0.7640838599912653,0.6697109937667847
7,0.7531940719308374,0.6794862747192383
8,0.7433517147961273,0.6846235990524292
9,0.732094064150771,0.6875490546226501
10,0.7156636879596536,0.6960399746894836
11,0.6974932852128869,0.7098109126091003
12,0.6929698574216399,0.7093827724456787
13,0.6987751266455542,0.706671416759491
14,0.6834564538306842,0.710738480091095
15,0.6712178213683437,0.7150909900665283
16,0.6620184663496061,0.7219407558441162
17,0.6573781055402538,0.7202996611595154
18,0.656834663865773,0.7257937788963318
19,0.6475859717146991,0.7307170629501343
20,0.6430666988298773,0.7236531972885132
21,0.632641304573512,0.7374955415725708
22,0.627261884544538,0.7357831001281738
23,0.6206160337413282,0.741633951663971
24,0.6250189086890112,0.7382804155349731
25,0.6194000811609504,0.7397074699401855
26,0.6130573040546348,0.741063117980957
27,0.6014739724054728,0.7464858889579773
28,0.5918769138316585,0.7500535249710083
29,0.5923956703377641,0.7507670521736145
30,0.5835900781633647,0.754477322101593
31,0.5833013800725545,0.7555476427078247
32,0.5779786292276426,0.7570460438728333
33,0.5687558072614888,0.758044958114624
34,0.5674513834252205,0.754477322101593
35,0.5599757057346709,0.7665358781814575
36,0.5542526249199697,0.7682483196258545
37,0.5523043217724317,0.7674634456634521
38,0.5517207181344838,0.7683196663856506
39,0.5417117862940923,0.7749553918838501
40,0.5397674984311405,0.7770246267318726
41,0.531938793860614,0.7763110995292664
42,0.5266772247340581,0.7796646356582642
43,0.5229621314566973,0.7788084149360657
44,0.5127761274167936,0.7833749651908875
45,0.5189600265733728,0.7775954008102417
46,0.5131657271896868,0.7832322716712952
47,0.49973044452601917,0.7887977361679077
48,0.4969606547867326,0.7924366593360901
49,0.49404292305310565,0.7927221059799194
50,0.4881523050129686,0.7971459031105042
51,0.48534689687158417,0.7971459031105042
52,0.47532163805341066,0.8001427054405212
53,0.473254417039488,0.804566502571106
54,0.4690946529717206,0.8037816286087036
55,0.46700629510291636,0.8014984130859375
56,0.4539998002248268,0.8109882473945618
57,0.45882761573682634,0.8074206113815308
58,0.447485754070761,0.8119871616363525
59,0.4490639501374606,0.8144844770431519
60,0.44630238658761323,0.8110595941543579
61,0.44051275065500445,0.8171244859695435
62,0.43222688247351887,0.818123459815979
63,0.4307032984141345,0.8205494284629822
64,0.4290981281157498,0.8201212882995605
65,0.41822497709973216,0.8260435461997986
66,0.4193416182036814,0.8259007930755615
67,0.41703208450857365,0.8295397758483887
68,0.4067467355156598,0.8339636325836182
69,0.4042183967757987,0.8296111226081848
70,0.4052368005797199,0.8369603753089905
71,0.40283377931270425,0.8314662575721741
72,0.39249405251246067,0.8398144841194153
73,0.3843755177711243,0.8424544930458069
74,0.38614150031244376,0.842525839805603
75,0.39053658106827843,0.8391723036766052
76,0.39167757379954266,0.8388155698776245
77,0.38437972711101515,0.8426685333251953
78,0.38075187747881295,0.8426685333251953
79,0.38125238652643,0.8420977592468262
80,0.3782861087148048,0.8433107137680054
81,0.3822708982446967,0.8453799486160278
82,0.3753267837577759,0.8456653356552124
83,0.3773509310941174,0.8459507822990417
84,0.37428332606679227,0.8450945615768433
85,0.3733115565695175,0.8473777770996094
86,0.37608682843920305,0.8450945615768433
87,0.3720910099407309,0.8495897054672241
88,0.37999729158943646,0.8450945615768433
89,0.3787343557158562,0.84423828125
