Epoch,SupervisedLoss,Accuracy
0,1.6029337247212727,0.20388349890708923
1,1.5898710489273071,0.23624595999717712
2,1.5777873198191326,0.29773464798927307
3,1.5491993427276611,0.35922330617904663
4,1.5304165681203206,0.4012944996356964
5,1.517315189043681,0.4466019570827484
6,1.4818816184997559,0.5016181468963623
7,1.4608877897262573,0.5145631432533264
8,1.4337832927703857,0.5469256043434143
9,1.405300776163737,0.5566343069076538
10,1.3795593579610188,0.5631068348884583
11,1.3534249862035115,0.5857605338096619
12,1.3226017157236736,0.5857605338096619
13,1.3021638790766399,0.598705530166626
14,1.2871939738591511,0.5954692959785461
15,1.25132950146993,0.6116505265235901
16,1.2533560593922932,0.5889967679977417
17,1.2279633680979412,0.627831757068634
18,1.188177267710368,0.6213592290878296
19,1.1788289149602253,0.6084142327308655
20,1.1581238508224487,0.598705530166626
21,1.1436164379119873,0.6116505265235901
22,1.136448860168457,0.6245954632759094
23,1.1187904675801594,0.5922330021858215
24,1.1281718810399373,0.598705530166626
25,1.124871293703715,0.6148867607116699
26,1.0745757420857747,0.6310679912567139
27,1.077641248703003,0.6245954632759094
28,1.0712800820668538,0.6310679912567139
29,1.0259793996810913,0.6407766938209534
30,1.0423266291618347,0.6343042254447937
31,1.0073519945144653,0.6181229948997498
32,1.0354321797688801,0.6472492218017578
33,0.9961938063303629,0.6148867607116699
34,1.0251096487045288,0.6472492218017578
35,1.0110236803690593,0.6310679912567139
36,0.9939573407173157,0.6213592290878296
37,0.989634374777476,0.644012987613678
38,0.9896737337112427,0.6343042254447937
39,0.9743811885515848,0.7022653818130493
40,0.9824824134508768,0.6310679912567139
41,0.9522310694058737,0.6601942181587219
42,0.961272656917572,0.6245954632759094
43,0.9618789951006571,0.6666666865348816
44,0.9738577802975973,0.6472492218017578
45,0.9525971015294393,0.6731391549110413
46,0.9712479710578918,0.6601942181587219
47,0.9460669954617819,0.6504854559898376
48,0.9477095603942871,0.6504854559898376
49,0.9537439942359924,0.6375404596328735
50,0.941150963306427,0.6796116828918457
51,0.9195647239685059,0.6990291476249695
52,0.9338646531105042,0.6504854559898376
53,0.9296261270840963,0.6634304523468018
54,0.9201349218686422,0.6666666865348816
55,0.9281334479649862,0.6666666865348816
56,0.9196862181027731,0.6699029207229614
57,0.9161990483601888,0.6763754487037659
58,0.9069371819496155,0.6763754487037659
59,0.9516383210817972,0.6569579243659973
60,0.9336692094802856,0.6731391549110413
61,0.9230523308118185,0.6569579243659973
62,0.9394508202870687,0.6569579243659973
63,0.913675844669342,0.7152103781700134
64,0.9125674168268839,0.6731391549110413
65,0.9100562731424967,0.6634304523468018
66,0.9273634155591329,0.6763754487037659
67,0.9191965262095133,0.6569579243659973
68,0.9041584730148315,0.6601942181587219
69,0.9365509351094564,0.6634304523468018
70,0.9368809461593628,0.6601942181587219
71,0.9305508335431417,0.6763754487037659
72,0.930361012617747,0.6569579243659973
73,0.912636915842692,0.6569579243659973
74,0.9618509610493978,0.6472492218017578
75,0.9431754549344381,0.6990291476249695
76,0.9672438502311707,0.644012987613678
77,0.9137414693832397,0.7119741439819336
78,0.9298776586850485,0.6537216901779175
79,0.9157072504361471,0.6666666865348816
80,0.9633453488349915,0.6375404596328735
81,0.9307470917701721,0.6796116828918457
82,0.9207229018211365,0.6731391549110413
83,0.9135800997416178,0.6796116828918457
84,0.9163676102956136,0.6634304523468018
85,0.9246098796526591,0.6731391549110413
86,0.9158533811569214,0.6634304523468018
87,0.9059030016263326,0.6504854559898376
88,0.9187876184781393,0.6731391549110413
89,0.9217905004819235,0.6601942181587219
