Epoch,SupervisedLoss,Accuracy
0,1.145005624043887,0.5033178925514221
1,0.9663665093243394,0.585372805595398
2,0.9041727231517774,0.6068497896194458
3,0.8419279643934067,0.6421691179275513
4,0.812796707839182,0.6510167717933655
5,0.7941511526499709,0.6595790386199951
6,0.7725876387395815,0.6720656156539917
7,0.7575736926298707,0.6788440942764282
8,0.7399989513501729,0.6866928339004517
9,0.7285804193313807,0.6893328428268433
10,0.7231688159241524,0.693899393081665
11,0.7041860041825194,0.7011772990226746
12,0.6878852027736299,0.7080271244049072
13,0.6908106603851057,0.7084552049636841
14,0.6739487117283964,0.7155904173851013
15,0.670870825580266,0.7140920162200928
16,0.665907279677587,0.7205137014389038
17,0.6473718538676223,0.7272921800613403
18,0.6475108493136489,0.7279343605041504
19,0.6452326641235178,0.7254370450973511
20,0.637801594657985,0.7325009107589722
21,0.6257311991632801,0.73870849609375
22,0.6253204219145317,0.7367106676101685
23,0.6258743493796484,0.7360684871673584
24,0.6161587480540689,0.7400642037391663
25,0.6121542939584549,0.7418479919433594
26,0.6029905127063734,0.749268651008606
27,0.5975345487463964,0.7532643675804138
28,0.5922125560235759,0.7512664794921875
29,0.5838863295779381,0.7481269836425781
30,0.5769370915410725,0.7581876516342163
31,0.5763101287900585,0.7571887373924255
32,0.5698986260313966,0.7613271474838257
33,0.568273991482443,0.7557616829872131
34,0.554931579115184,0.7688904404640198
35,0.5546160457341094,0.7676774859428406
36,0.554864509601027,0.7643952965736389
37,0.5471166501578675,0.7716018557548523
38,0.5398095987703158,0.7747413516044617
39,0.5363685970437037,0.7716732025146484
40,0.5243051601871508,0.7783089280128479
41,0.5227105254179811,0.7808062434196472
42,0.5157903458701966,0.7807348966598511
43,0.5169773959133723,0.7812343835830688
44,0.5100717735072794,0.7889404296875
45,0.5069091564988437,0.7878701090812683
46,0.49903172104870347,0.7913663983345032
47,0.49934082284365616,0.7913663983345032
48,0.49762983368412,0.7945772409439087
49,0.4888748246240834,0.7926506996154785
50,0.4809347622470769,0.7973599433898926
51,0.4824618256255372,0.795861542224884
52,0.4687381562304823,0.8036389350891113
53,0.4680902651728016,0.8047806024551392
54,0.46561561722189326,0.8060649037361145
55,0.45784431593875363,0.8110595941543579
56,0.457683928344892,0.8102747201919556
57,0.4565473377840704,0.8107028007507324
58,0.44856647323800003,0.812201201915741
59,0.4445592264334361,0.8139136433601379
60,0.4310762462414563,0.8228326439857483
61,0.42961667151483773,0.8231894373893738
62,0.4280625044891279,0.822689950466156
63,0.42420002287381314,0.8218337297439575
64,0.41482990429009475,0.8302533030509949
65,0.41673477688064314,0.82454514503479
66,0.4116544190743198,0.8290402889251709
67,0.40618399016933354,0.8302533030509949
68,0.4053634376558539,0.8325365781784058
69,0.3969148973759995,0.8380306959152222
70,0.39425636875574993,0.836104154586792
71,0.38475341564171933,0.8435248136520386
72,0.38785373103128723,0.8380306959152222
73,0.3823330467014008,0.8428826332092285
74,0.38291316993160335,0.8394576907157898
75,0.3811338276487507,0.8436675071716309
76,0.37803817475767443,0.8434534072875977
77,0.3758762173320605,0.8468783497810364
78,0.3716452051651532,0.8448091149330139
79,0.3712772796415303,0.8480199575424194
80,0.3712592195022052,0.846592903137207
81,0.37350684438394083,0.8475918769836426
82,0.37139260626002535,0.8461648225784302
83,0.3656624062284487,0.8531573414802551
84,0.3698839914036668,0.850160539150238
85,0.3643332136684357,0.8523724675178528
86,0.36530442005150937,0.8517302870750427
87,0.363361225484713,0.8523724675178528
88,0.36532888394784707,0.8500891923904419
89,0.36737447589227595,0.8510881066322327
